"file","group","category","bundle","raw_frequency"
"KOR_B20.txt","KOR","stance","i think it",77
"KOR_B20.txt","KOR","stance","i think that",35
"KOR_B20.txt","KOR","stance","in my opinion",10
"KOR_B20.txt","KOR","referential","in order to",11
"KOR_B20.txt","KOR","stance","it is better",5
"KOR_B20.txt","KOR","stance","it is difficult",2
"KOR_B20.txt","KOR","stance","it is important",46
"KOR_B20.txt","KOR","stance","it is necessary",6
"KOR_B20.txt","KOR","referential","many kinds of",10
"KOR_B20.txt","KOR","referential","more and more",6
"KOR_B20.txt","KOR","discourse_organizer","on the other hand",5
"KOR_B20.txt","KOR","referential","one of the",20
"KOR_B20.txt","KOR","vague_extender","or something like",0
"KOR_B20.txt","KOR","referential","the most important",10
"KOR_B20.txt","KOR","stance","there are many",28
"KOR_B20.txt","KOR","stance","there is no",10
"KOR_B20.txt","KOR","vague_extender","things like that",1
"KOR_B20.txt","KOR","discourse_organizer","to sum up",4
"KOR_B20.txt","KOR","stance","we have to",17
"KOR_B20.txt","KOR","stance","we should not",3
"KOR_B20.txt","KOR","discourse_organizer","what is more",0
